一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
433,三鷹市上連雀9-42,35.685104,139.550110,JGD2011,都道調布田無線（武蔵境通り）,a,2009-06-01,2009-06-06,4,2,2.0 ,1.0 ,68,65
434,三鷹市上連雀9-18,35.684200,139.553696,JGD2011,都道府中三鷹線（人見街道）,b,2009-06-08,2009-06-13,4,2,2.0 ,1.0 ,68.6,66.1
435,三鷹市新川6-30,35.681431,139.566788,JGD2011,都道新宿国立線（東八道路）,b,2009-06-15,2009-06-20,4,4,3.0 ,1.0 ,-,-
436,三鷹市下連雀1-13,35.695774,139.569687,JGD2011,都道武蔵野狛江線（吉祥寺通り）,b,2009-06-22,2009-06-27,4,2,2.0 ,1.0 ,-,-
438,青梅市新町1-21,35.787998,139.298141,JGD2011,都道新宿青梅線（青梅街道）,b,2009-09-15,2009-09-18,4,4,4.5 ,1.2 ,71,66
439,青梅市畑中3-953,35.778954,139.235001,JGD2011,都道奥多摩青梅線（吉野街道）,a,2009-11-30,2009-12-03,4,2,1.5 ,1.2 ,72,67
441,青梅市根ヶ布2-276,35.806583,139.265411,JGD2011,都道青梅飯能線（成木街道）,a,2009-09-28,2009-10-01,4,2,1.5 ,1.2 ,70,63
442,青梅市長淵8-233,35.779587,139.264313,JGD2011,都道青梅あきる野線（秋川街道）,c,2009-11-02,2009-11-06,4,2,2.0 ,1.4 ,70,65
444,青梅市柚木町2-405,35.800948,139.210521,JGD2011,都道奥多摩青梅線（吉野街道）,a,2009-10-27,2009-10-31,4,2,3.0 ,1.2 ,67,62
446,青梅市御岳1-109,35.797489,139.180573,JGD2011,奥多摩青梅線,A,2009-11-16,2009-11-17,4,2,2.0 ,1.2 ,71,66
,,,,,,一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
447,青梅市成木8-40,35.819542,139.247574,JGD2011,青梅秩父線,B,2009-11-16,2009-11-17,4,2,2.8 ,1.2 ,67,57
448,青梅市新町4-1,35.784550,139.303452,JGD2011,藤橋小作線,C,2009-11-19,2009-11-20,4,2,3.5 ,1.2 ,67,62
450,府中市矢崎町1-5,35.663582,139.479401,JGD2011,神奈川県道・東京都道9号川崎府中線 (府中街道),b,2010-02-16,2010-02-19,4,2,4.0 ,1.5 ,69.1,67.8
451,府中市分梅町3-50,35.665642,139.459076,JGD2011,東京都道18号府中町田線バイパス(鎌倉街道),b,2010-03-08,2010-03-09,4,4,3.0 ,2.2 ,69.6,68.6
452,府中市若松町3-39,35.675034,139.506744,JGD2011,東京都道110号府中三鷹線(人見街道),a,2010-02-22,2010-02-25,4,2,1.0 ,1.5 ,62.2,58.7
453,府中市浅間町4-5,35.683331,139.499557,JGD2011,東京都道248号府中小平線(新小金井街道),b,2010-02-09,2010-02-12,4,2,4.0 ,1.5 ,66.1,65.6
454,府中市緑町1-29,35.674267,139.486389,JGD2011,東京都道15号府中清瀬線(小金井街道）,b,2010-01-18,2010-01-21,4,2,1.8 ,1.5 ,64.4,62.3
455,府中市北山町4-5,35.690422,139.458466,JGD2011,埼玉県道・東京都道17号所沢府中線バイパス(東八道路・府中街道),a,2009-11-24,2009-11-27,4,4,7.0 ,1.5 ,62.9,59.5
461,府中市分梅町3-51,35.666077,139.459030,JGD2011,府中町田線,C,2009-11-24,2009-11-25,4,6,3.0 ,1.2 ,68,65
462,府中市紅葉丘1-10,35.675602,139.508942,JGD2011,府中三鷹線,A,2009-11-30,2009-12-01,4,2,3.0 ,1.2 ,62,57
463,府中市西原町2-25,35.684776,139.458954,JGD2011,所沢府中線,C,2009-11-24,2009-11-25,4,6,5.4 ,1.2 ,66,63
464,府中市分梅町5-10,35.662735,139.463196,JGD2011,府中町田線,A,2009-11-24,2009-11-25,4,2,1.8 ,1.2 ,68,64
468,昭島市田中町2-16,35.702557,139.352737,JGD2011,都道主要地方道29号立川青梅線（奥多摩街道）,a,2009-12-14,2009-12-16,4,2,1.9 ,1.2 ,66.2,63.5
469,昭島市昭和町3-6,35.708076,139.368256,JGD2011,都道162号三ツ木八王子線（諏訪松中通り）,a,2010-01-26,2010-01-28,4,2,3.5 ,1.2 ,69.5,66.6
471,昭島市福島町3-23,35.696148,139.375916,JGD2011,都道主要地方道59号八王子武蔵村山線,a,2010-02-23,2010-02-25,4,4,2.0 ,1.2 ,68.6,66.6
472,昭島市福島町3-22,35.696331,139.377045,JGD2011,都道主要地方道29号立川青梅線 （新奥多摩街道）,b,2010-02-23,2010-02-25,4,4,3.8 ,1.2 ,68.3,61.9
473,昭島市田中町1-29,35.704548,139.353165,JGD2011,都道主要地方道29号立川青梅線 （新奥多摩街道）,b,2010-03-16,2010-03-18,4,4,3.5 ,1.2 ,68.9,48.5
474,昭島市中神町1237,35.711037,139.379517,JGD2011,都道主要地方道59号八王子武蔵村山線,c,2009-07-22,2009-07-24,4,2,4.3 ,1.2 ,66.9,65.2
477,昭島市玉川町3-5,35.701614,139.381683,JGD2011,立川青梅線,A,2009-11-19,2009-11-20,4,2,3.0 ,1.2 ,66,62
479,調布市富士見町2-16,35.659603,139.540939,JGD2011,都道調布田無線（武蔵境通り）,a,2010-01-21,2010-01-22,4,2,15.0 ,1.2 ,65,62
481,調布市深大寺北町7-16,35.673820,139.544846,JGD2011,都道調布田無線（武蔵境通り）,a,2010-01-20,2010-01-21,4,2,2.0 ,1.2 ,60,57
482,調布市多摩川1-51,35.648731,139.532318,JGD2011,都道町田調布線（鶴川街道）,c,2010-01-26,2010-02-02,4,2,14.0 ,1.2 ,67,64
485,町田市小山町2507,35.597279,139.368607,JGD2011,都道八王子町田線（町田街道）,b,2010-02-23,2010-02-24,4,2,2.1 ,1.2 ,70,68
486,町田市中町1-20,35.548164,139.446594,JGD2011,都道八王子町田線（町田街道）,c,2010-02-25,2010-02-26,4,2,2.1 ,1.2 ,75,64
,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, "properties": {
