町丁目,世帯数[世帯],男[人],女[人],合計[人]
東向島三丁目,1578,1593,1661,3254
東向島四丁目,1859,1655,1723,3378
東向島五丁目,2078,1828,1952,3780
東向島六丁目,2824,2636,2663,5299
堤通一丁目,1120,1156,1100,2256
堤通二丁目,2008,1837,2248,4085
墨田一丁目,1372,1444,1574,3018
墨田二丁目,1995,1965,1908,3873
墨田三丁目,1881,1787,1725,3512
墨田四丁目,2398,2309,2394,4703
墨田五丁目,1518,1401,1353,2754
押上一丁目,1278,1020,1114,2134
押上二丁目,2014,1801,1946,3747
押上三丁目,2222,2152,2023,4175
京島一丁目,3548,3314,3586,6900
京島二丁目,980,937,840,1777
京島三丁目,2299,2149,2027,4176
文花一丁目,2891,2515,2991,5506
文花二丁目,1182,1085,1129,2214
文花三丁目,1173,1340,1301,2641
八広一丁目,1767,1688,1595,3283
八広二丁目,2042,2052,2014,4066
八広三丁目,1839,1818,1699,3517
八広四丁目,2090,2096,2036,4132
八広五丁目,1527,1410,1437,2847
八広六丁目,2036,2028,1907,3935
立花一丁目,3126,2783,2941,5724
立花二丁目,818,724,718,1442
立花三丁目,1424,1328,1335,2663
立花四丁目,1786,1787,1736,3523
立花五丁目,1761,1981,1920,3901
立花六丁目,1131,1106,1187,2293
東墨田一丁目,61,72,59,131
東墨田二丁目,696,669,611,1280
東墨田三丁目,382,413,380,793

ｭｳ荳�町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,850,665,665,1330
両国二丁目,1231,989,990,1979
両国三丁目,1239,909,976,1885
両国四丁目,1219,987,970,1957
千歳一丁目,954,797,830,1627
千歳二丁目,589,522,471,993
千歳三丁目,1393,1176,1145,2321
緑一丁目,1709,1481,1377,2858
緑二丁目,1711,1583,1656,3239
緑三丁目,1580,1374,1337,2711
緑四丁目,2570,2247,2040,4287
立川一丁目,853,622,670,1292
立川二丁目,835,684,656,1340
立川三丁目,1001,821,830,1651
立川四丁目,997,760,768,1528
菊川一丁目,948,798,867,1665
菊川二丁目,1424,1060,1218,2278
菊川三丁目,2143,1822,1896,3718
江東橋一丁目,853,665,601,1266
江東橋二丁目,1263,1068,964,2032
江東橋三丁目,512,384,233,617
江東橋四丁目,1455,1089,946,2035
江東橋五丁目,1606,1446,1442,2888
横網一丁目,141,157,144,301
横網二丁目,666,569,572,1141
亀沢一丁目,1179,1002,1014,2016
亀沢二丁目,987,849,969,1818
亀沢三丁目,993,1025,983,2008
亀沢四丁目,1432,1297,1236,2533
石原一丁目,1484,1189,1219,2408
石原二丁目,1408,1244,1248,2492
石原三丁目,1672,1512,1357,2869
石原四丁目,1423,1301,1249,2550
本所一丁目,1568,1421,1411,2832
本所二丁目,897,766,828,1594
本所三丁目,982,880,868,1748
本所四丁目,1370,1239,1164,2403
東駒形一丁目,810,631,655,1286
東駒形二丁目,831,737,753,1490
東駒形三丁目,901,750,734,1484
東駒形四丁目,1432,1162,1217,2379
吾妻橋一丁目,1293,979,1103,2082
吾妻橋二丁目,890,669,718,1387
吾妻橋三丁目,857,783,829,1612
錦糸一丁目,1285,974,929,1903
錦糸二丁目,396,311,242,553
錦糸三丁目,414,337,279,616
錦糸四丁目,905,810,808,1618
太平一丁目,1757,1665,1622,3287
太平二丁目,849,719,564,1283
太平三丁目,773,629,594,1223
太平四丁目,2503,2225,2291,4516
横川一丁目,788,819,721,1540
横川二丁目,897,758,684,1442
横川三丁目,617,537,510,1047
横川四丁目,687,622,553,1175
横川五丁目,1412,1184,1524,2708
業平一丁目,1507,1387,1558,2945
業平二丁目,811,699,612,1311
業平三丁目,845,679,668,1347
業平四丁目,1173,897,997,1894
業平五丁目,1144,1058,1180,2238
向島一丁目,1327,1081,1092,2173
向島二丁目,1527,1258,1381,2639
向島三丁目,2497,2191,2163,4354
向島四丁目,1318,1242,1307,2549
向島五丁目,2532,2128,2093,4221
東向島一丁目,1731,1562,1518,3080
東向島二丁目,2829,2404,2557,4961
東向島三丁目,1591,1610,1639,3249
東向島四丁目,1938,1709,1752,3461
東向島五丁目,2101,1821,1953,3774
東向島六丁目,2970,2713,2731,5444
堤通一丁目,1090,1125,1074,2199
堤通二丁目,2036,1791,2250,4041
墨田一丁目,1410,1472,1599,3071
墨田二丁目,1996,1925,1911,3836
墨田三丁目,1974,1810,1784,3594
墨田四丁目,2403,2299,2370,4669
墨田五丁目,1537,1395,1381,2776
押上一丁目,1325,1029,1142,2171
押上二丁目,1982,1753,1908,3661
押上三丁目,2259,2135,2103,4238
京島一丁目,3553,3355,3597,6952
京島二丁目,966,930,837,1767
京島三丁目,2272,2106,2015,4121
文花一丁目,2955,2510,2986,5496
文花二丁目,1234,1105,1156,2261
文花三丁目,1181,1336,1296,2632
八広一丁目,1815,1692,1620,3312
八広二丁目,2075,2051,2010,4061
八広三丁目,1813,1808,1669,3477
八広四丁目,2211,2178,2095,4273
八広五丁目,1543,1417,1429,2846
八広六丁目,2063,2026,1930,3956
立花一丁目,3086,2709,2884,5593
立花二丁目,849,778,763,1541
立花三丁目,1544,1416,1430,2846
立花四丁目,1794,1794,1701,3495
立花五丁目,1772,2016,1973,3989
立花六丁目,1109,1065,1162,2227
東墨田一丁目,60,66,57,123
東墨田二丁目,704,652,615,1267
東墨田三丁目,377,409,378,787
ｮ,2063,2013,1937,3950
遶玖干荳�荳∫岼,3068,2655,2846,5501
遶玖干莠御ｸ∫岼,839,773,758,1531
遶玖干荳我ｸ∫岼,1547,1417,1409,2826
遶玖干蝗帑ｸ∫岼,1820,1795,1708,3503
遶玖干莠比ｸ∫岼,1896,2103,2060,4163
遶玖干蜈ｭ荳∫岼,1129,1065,1171,2236
譚ｱ蠅ｨ逕ｰ荳�荳∫岼,62,67,61,128
譚ｱ蠅ｨ逕ｰ莠御ｸ∫岼,725,655,623,1278
譚ｱ蠅ｨ逕ｰ荳我ｸ∫岼,377,400,371,771
1 ], [ 139.72964419948357, 35.590244071475531 ], [ 139.72973009419749, 35.590212596865491 ], [ 139.72978772475662, 35.590191914535332 ], [ 139.72979523218802, 35.590189216829806 ] ] } },
{ "type": "Feature", "properties": { "SAUID": 77899, "SAUPDATE": "2017-05-11 04:55:51", "SAFIELD000": 77899, "SAFIELD001": 77940, "SAFIELD002": 9, "SAFIELD003": "驍ｱ螟ｧ蝟ｧ闖ｴ蜷晞ｴｨ霎滂ｽ｡邵ｺ�ｽ", "SAFIELD004": 7.0, "SAFIELD005": "陞滂ｽｧ闔�蜍滓�陋ｹ�ｺ", "SAFIELD006": "陷頑�懶ｽ､�ｧ闔�蜍滂ｿｽ闕ｳ竏ｫ蟯ｼ", "SAFIELD007": 9, "SAFIELD008": "陜��ｽ�･�ｭ陜ｨ�ｰ陜難ｿｽ", "SAFIELD009": 132, "SAFIELD010": 0 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.72979523218802, 35.590189216829806 ], [ 139.72982815161839, 35.590248195683564 ] ] } },
{ "type": "Feature", "properties": { "SAUID": 77900, "SAUPDATE": "2017-05-11 04:55:51", "SAFIELD000": 77900, "SAFIELD001": 77941, "SAFIELD002": 8, "SAFIELD003": "陜ｪ�ｽ", "SAFIELD004": 10.0, "SAFIELD005": "陞滂ｽｧ闔�蜍滓�陋ｹ�ｺ", "SAFIELD006": "陷頑�懶ｽ､�ｧ闔�蜍滂ｿｽ闕ｳ竏ｫ蟯ｼ", "SAFIELD007": 9, "SAFIELD008": "陜��ｽ�･�ｭ陜ｨ�ｰ陜難ｿｽ", "SAFIELD009": 210, "SAFIELD010": 0 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.73201605809902, 35.590551117333746 ], [ 139.7320673927845, 35.590622369888187 ], [ 139.73207190975788, 35.590628322823989 ] 
