町丁目,世帯数[世帯],男[人],女[人],総数[人]
墨田五丁目,1561,1406,1405,2811
押上一丁目,1338,1048,1148,2196
押上二丁目,2022,1773,1925,3698
押上三丁目,2334,2179,2191,4370
京島一丁目,3638,3418,3711,7129
京島二丁目,997,955,857,1812
京島三丁目,2320,2135,2077,4212
文花一丁目,3010,2569,3085,5654
文花二丁目,1331,1169,1243,2412
文花三丁目,1207,1346,1319,2665
八広一丁目,1853,1747,1655,3402
八広二丁目,2188,2154,2072,4226
八広三丁目,1850,1840,1716,3556
八広四丁目,2292,2224,2201,4425
八広五丁目,1622,1452,1500,2952
八広六丁目,2124,2075,1993,4068
立花一丁目,3506,3050,3266,6316
立花二丁目,901,825,806,1631
立花三丁目,1640,1482,1524,3006
立花四丁目,1882,1870,1820,3690
立花五丁目,1985,2202,2155,4357
立花六丁目,1192,1117,1237,2354
東墨田一丁目,78,81,65,146
東墨田二丁目,746,699,640,1339
東墨田三丁目,407,426,387,813
, 町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,984,750,766,1516
両国二丁目,1356,1059,1086,2145
両国三丁目,1323,986,1020,2006
両国四丁目,1334,1074,1044,2118
千歳一丁目,976,802,859,1661
千歳二丁目,648,568,508,1076
千歳三丁目,1522,1268,1226,2494
緑一丁目,1943,1624,1533,3157
緑二丁目,1800,1660,1739,3399
緑三丁目,1719,1487,1468,2955
緑四丁目,2905,2438,2296,4734
立川一丁目,879,635,690,1325
立川二丁目,896,729,686,1415
立川三丁目,1105,881,929,1810
立川四丁目,1059,796,820,1616
菊川一丁目,1071,873,940,1813
菊川二丁目,1504,1100,1266,2366
菊川三丁目,2249,1893,1968,3861
江東橋一丁目,983,740,743,1483
江東橋二丁目,1469,1206,1137,2343
江東橋三丁目,631,463,324,787
江東橋四丁目,1806,1290,1310,2600
江東橋五丁目,1695,1488,1510,2998
横網一丁目,147,167,150,317
横網二丁目,709,597,608,1205
亀沢一丁目,1233,1025,1055,2080
亀沢二丁目,1035,880,1019,1899
亀沢三丁目,1068,1082,1060,2142
亀沢四丁目,1518,1369,1334,2703
石原一丁目,1629,1281,1331,2612
石原二丁目,1470,1285,1286,2571
石原三丁目,1750,1557,1421,2978
石原四丁目,1583,1433,1402,2835
本所一丁目,1635,1464,1478,2942
本所二丁目,931,785,846,1631
本所三丁目,1015,881,896,1777
本所四丁目,1448,1265,1232,2497
東駒形一丁目,878,679,702,1381
東駒形二丁目,872,765,780,1545
東駒形三丁目,933,765,763,1528
東駒形四丁目,1465,1193,1267,2460
吾妻橋一丁目,1345,1048,1119,2167
吾妻橋二丁目,924,688,754,1442
吾妻橋三丁目,900,819,859,1678
錦糸一丁目,1439,1084,1058,2142
錦糸二丁目,478,372,324,696
錦糸三丁目,477,388,342,730
錦糸四丁目,1022,891,935,1826
太平一丁目,1941,1811,1790,3601
太平二丁目,944,777,643,1420
太平三丁目,868,691,671,1362
太平四丁目,2698,2368,2493,4861
横川一丁目,830,857,760,1617
横川二丁目,978,820,737,1557
横川三丁目,719,618,595,1213
横川四丁目,763,662,608,1270
横川五丁目,1450,1217,1621,2838
業平一丁目,1582,1433,1601,3034
業平二丁目,812,698,624,1322
業平三丁目,891,692,709,1401
業平四丁目,1207,921,1027,1948
業平五丁目,1215,1106,1227,2333
向島一丁目,1393,1149,1131,2280
向島二丁目,1576,1294,1417,2711
向島三丁目,2673,2305,2305,4610
向島四丁目,1374,1277,1360,2637
向島五丁目,2564,2172,2130,4302
東向島一丁目,1803,1609,1568,3177
東向島二丁目,2882,2449,2636,5085
東向島三丁目,1741,1707,1770,3477
東向島四丁目,2013,1748,1799,3547
東向島五丁目,2164,1860,2011,3871
東向島六丁目,3017,2771,2790,5561
堤通一丁目,1159,1212,1119,2331
堤通二丁目,2105,1868,2400,4268
墨田一丁目,1463,1499,1677,3176
墨田二丁目,2065,1989,1949,3938
墨田三丁目,2068,1874,1882,3756
墨田四丁目,2494,2369,2450,4819
墨田五丁目,1567,1409,1410,2819
押上一丁目,1347,1056,1159,2215
押上二丁目,2026,1786,1926,3712
押上三丁目,2326,2180,2184,4364
京島一丁目,3641,3422,3714,7136
京島二丁目,1001,958,858,1816
京島三丁目,2316,2127,2072,4199
文花一丁目,3008,2574,3088,5662
文花二丁目,1332,1172,1246,2418
文花三丁目,1211,1355,1325,2680
八広一丁目,1845,1739,1652,3391
八広二丁目,2180,2147,2070,4217
八広三丁目,1852,1840,1719,3559
八広四丁目,2291,2219,2203,4422
八広五丁目,1628,1455,1505,2960
八広六丁目,2117,2069,1992,4061
立花一丁目,3495,3046,3259,6305
立花二丁目,905,831,806,1637
立花三丁目,1643,1480,1532,3012
立花四丁目,1889,1869,1825,3694
立花五丁目,1976,2191,2147,4338
立花六丁目,1197,1119,1237,2356
東墨田一丁目,78,81,65,146
東墨田二丁目,745,699,643,1342
東墨田三丁目,412,428,394,822
ｿ蜩∝ｷ昜ｺ御ｸ∫岼", "SAFIELD007": 5, "SAFIELD008": "貅門ｷ･讌ｭ蝨ｰ蝓�", "SAFIELD009": 520, "SAFIELD010": 0 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.7290052460026, 35.614403744060503 ], [ 139.72895124925174, 35.614417758844624 ] ] } },
{ "type": "Feature", "properties": { "SAUID": 44122, "SAUPDATE": "2017-05-11 04:55:51", "SAFIELD000": 44122, "SAFIELD001": 44139, "SAFIELD002": 9, "SAFIELD003": "邱大喧菴吝鴨辟｡縺�", "SAFIELD004": 9.0, "SAFIELD005": "蜩∝ｷ晏慍蛹ｺ", "SAFIELD006": "隘ｿ蜩∝ｷ昜ｺ御ｸ∫岼", "SAFIELD007": 10, "SAFIELD008": "貅門ｷ･讌ｭ蝨ｰ蝓�", "SAFIELD009": 520, "SAFIELD010": 0 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.72910473661446, 35.614378140794337 ], [ 139.7290052460026, 35.614403744060503 ] ] } },
{ "type": "Feature", "properties": { "SAUID": 44123, "SAUPDATE": "2017-05-11 04:55:51", "SAFIELD000": 44123, "SAFIELD001": 44140, "SAFIELD002": 9, "SAFIELD003": "邱大喧菴吝鴨辟｡縺�", "SAFIELD004": 11.0, "SAFIELD005": "蜩∝ｷ晏慍蛹ｺ", "SAFIELD006": "隘ｿ蜩∝ｷ昜ｺ御ｸ∫岼", "SAFIELD007": 5, "SAFIELD008": "隨ｬ荳�遞ｮ菴丞ｱ�慍蝓�", "SAFIELD009": 520, "SAFIELD010": 0 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.72762989059225, 35.612269065455493 ], [ 139.72763462613113, 35.612277362321002 ], [ 139.72763947952345, 35.612279980585171 ], [ 139.72764466631631, 35.612280886516388 ], [ 139.72765283379314, 35.612281524647145 ], [ 139.7276606729676, 35.612279999173403 ], [ 139.72766740902779, 35.612277931902803 ], [ 139.72771471945296, 35.612227225593102 ] ] } },
{ "type": "Feature", "properties": { "SAUID": 44124, "SAUPDATE": "2017-0
