5-(11)　　神湊港,,,,,,,,,,,,
,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"123,463","25,651","97,812",,　　　　事務用機器,,264,‐,‐,‐
【一般】,,,"123,463","25,651","97,812",,　　　　その他機械,,265,2,1,1
(1)　農水産品,,,"13,340","5,297","8,043",,(5)　化学工業品,,,"26,685",813,"25,872"
　　　　麦,,11,‐,‐,‐,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,200,‐,200,,　　　　セメント,,281,"6,041",1,"6,040"
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,‐,‐,‐
　　　　豆類,,23,‐,‐,‐,,　　　　窯業品,,301,"2,482",3,"2,479"
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,"9,740",‐,"9,740"
　　　　野菜・果物,,31,"1,990",1,"1,989",,　　　　揮発油,,320,"4,570",‐,"4,570"
　　　　綿花,,41,‐,‐,‐,,　　　　その他の石油,,321,808,808,‐
　　　　その他農産品,,51,"2,744","2,727",17,,　　　　LNG（液化天然ガス）,,322,"3,041",‐,"3,041"
　　　　羊毛,,61,‐,‐,‐,,　　　　LPG（液化石油ガス）,,323,‐,‐,‐
　　　　その他畜産品,,71,"3,041",124,"2,917",,　　　　石油製品,,324,‐,‐,‐
         水産品,,81,"5,365","2,445","2,920",,　　　　コークス,,331,‐,‐,‐
(2)　林産品,,,"5,181","1,435","3,746",,　　　　石炭製品,,341,‐,‐,‐
　　　　原木,,91,‐,‐,‐,,　　　　化学薬品,,351,‐,‐,‐
　　　　製材,,92,"4,201",470,"3,731",,　　　　化学肥料,,361,‐,‐,‐
　　　　樹脂類,,101,‐,‐,‐,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,3,1,2
　　　　木材チップ,,111,‐,‐,‐,,(6)　軽工業品,,,"2,419",50,"2,369"
　　　　その他林産品,,112,980,965,15,,　　　　紙、パルプ,,381,10,‐,10
　　　　薪炭,,121,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
(3)　鉱産品,,,"23,970",‐,"23,970",,　　　　その他繊維工業品,,401,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　砂糖,,411,‐,‐,‐
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　製造食品,,421,259,1,258
　　　　金属鉱,,151,‐,‐,‐,,　　　　飲料,,422,"2,148",48,"2,100"
　　　　砂利・砂,,161,"23,970",‐,"23,970",,　　　　水,,423,‐,‐,‐
　　　　石材,,162,‐,‐,‐,,　　　　たばこ,,424,1,‐,1
　　　　原油,,171,‐,‐,‐,,　　　　その他食料工業品,,425,1,1,‐
　　　　りん鉱石,,181,‐,‐,‐,,(7)　雑工業品,,,"4,556","1,572","2,984"
　　　　石灰石,,191,‐,‐,‐,,　　　　がん具,,431,‐,‐,‐
　　　　原塩,,201,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,1,‐,1
　　　　非金属鉱物,,211,‐,‐,‐,,"　       文房具・運動娯楽用品・
         楽器",,442,1,‐,1
(4)  金属機械工業品,,,"13,264","2,535","10,729",,　　　　家具装備品,,443,‐,‐,‐
　　　　鉄鋼,,221,‐,‐,‐,,　　　　その他日用品,,444,"4,541","1,564","2,977"
　　　　鋼材,,222,‐,‐,‐,,　　　　ゴム製品,,451,‐,‐,‐
　　　　非鉄金属,,231,‐,‐,‐,,　　　　木製品,,461,1,‐,1
　　　　金属製品,,241,"6,328",535,"5,793",,　　　　その他製造工業品,,471,12,8,4
　　　　鉄道車両,,251,‐,‐,‐,,(8)　特殊品,,,"32,226","13,131","19,095"
　　　　完成自動車,,252,"5,420","1,146","4,274",,　　　　金属くず,,481,196,184,12
　　　　その他輸送用車両,,253,"1,365",803,562,,　　　　再利用資材,,491,790,789,1
　　　　二輪自動車,,254,144,49,95,,　　　　動植物性製造飼肥料,,501,929,3,926
　　　　自動車部品,,255,3,‐,3,,　　　　廃棄物,,511,"2,096","1,835",261
　　　　その他輸送機械,,256,‐,‐,‐,,　　　　廃土砂,,512,"1,562","1,562",‐
　　　　産業機械,,261,‐,‐,‐,,　　　　輸送用容器,,521,"11,781","6,742","5,039"
　　　　電気機械,,262,2,1,1,,　　　　取合せ品,,531,"14,872","2,016","12,856"
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,(9)　分類不能のもの,,541,"1,822",818,"1,004"
,,,,,,,【自航】,,,‐,‐,‐
70,家具装備品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,家具装備品,,,,,
71,その他日用品,-,-,-,"2,389",222,326,53,174,114,-,207,919,141,195,2,36,-,16,71,その他日用品,,,,,
72,ゴム製品,-,-,-,45,-,-,40,-,-,5,-,-,-,-,-,-,-,-,72,ゴム製品,,,,,
73,木製品,-,-,-,610,-,-,166,170,100,51,-,-,60,-,-,-,63,-,73,木製品,,,,,
74,その他製造工業品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,74,その他製造工業品,,,,,
特殊品,,-,-,-,"88,899","12,937","8,006","4,961","12,309","9,642","3,023","6,655","13,244","2,661","1,023",679,"2,731","11,028","64,794",特殊品,,,,,,
75,金属くず,-,-,-,"15,825","1,439",-,"1,569","3,632","3,989","1,390",-,108,802,-,-,250,"2,646",-,75,金属くず,,,,,
76,再利用資材,-,-,-,"9,954",54,-,-,260,44,-,"1,792","4,091",73,392,256,47,"2,945",10,76,再利用資材,,,,,
77,動植物性製造飼肥料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,動植物性製造飼肥料,,,,,
78,廃棄物,-,-,-,"9,730",-,-,"1,595","3,076","2,195",423,-,-,830,-,-,"1,437",174,-,78,廃棄物,,,,,
79,廃土砂,-,-,-,392,-,-,-,-,-,-,-,-,-,-,-,-,392,-,79,廃土砂,,,,,
80,輸送用容器,-,-,-,"14,266","1,039",-,"1,582","2,968","1,771","1,200",717,"3,040",60,147,49,190,"1,503",-,80,輸送用容器,,,,,
81,取合せ品,-,-,-,"38,732","10,405","8,006",215,"2,373","1,643",10,"4,146","6,005",896,484,374,807,"3,368","64,784",81,取合せ品,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
○蜩�,,,,,
蛻�｡樔ｸ崎�縺ｮ繧ゅ�,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,蛻�｡樔ｸ崎�縺ｮ繧ゅ�,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
