区市町村名,住宅地:26年,住宅地:27年,住宅地:28年,住宅地:29年,住宅地:30年,住宅地:31年,住宅地:2年,住宅地:3年,住宅地:4年,商業地:26年,商業地:27年,商業地:28年,商業地:29年,商業地:30年,商業地:31年,商業地:2年,商業地:3年,商業地:4年,全用途（林地を含む。）26年,全用途（林地を含む。）27年,全用途（林地を含む。）28年,全用途（林地を含む。）29年,全用途（林地を含む。）30年,全用途（林地を含む。）31年,全用途（林地を含む。）2年,全用途（林地を含む。）3年,全用途（林地を含む。）4年
八王子市,0.2,0.4,0.1,0.0,0.1,0.2,0.2,-0.7,-0.0,0.4,0.9,0.9,0.8,0.8,0.9,1.6,-1.1,-0.1,0.3,0.5,0.2,0.1,0.2,0.3,0.4,-0.7,-0.0
立川市,2.8,1.1,0.6,0.9,2.0,2.1,1.8,-0.5,1.1,2.7,4.1,4.8,5.6,5.5,5.3,4.6,-1.2,0.5,2.8,1.8,1.6,1.8,2.8,2.7,2.4,-0.6,1.0
武蔵野市,2.6,3.1,3.3,3.3,3.1,3.3,2.7,0.0,1.7,3.0,3.4,4.5,5.3,5.5,6.9,7.3,-0.9,1.8,2.8,3.2,3.8,4.0,4.0,4.7,4.4,-0.3,1.7
三鷹市,1.4,1.7,2.6,2.6,2.7,2.9,2.2,-0.1,0.9,1.4,1.6,2.6,2.5,2.5,3.5,3.4,-0.6,1.0,1.4,1.7,2.6,2.6,2.7,3.0,2.5,-0.3,1.0
青梅市,0.0,-0.3,-0.6,-0.9,-0.8,-1.0,-1.2,-2.7,-0.1,0.2,1.0,0.5,0.1,0.2,0.1,0.1,-2.3,-0.2,0.1,-0.1,-0.5,-0.8,-0.8,-0.8,-1.0,-2.6,-0.1
府中市,1.1,0.9,0.9,1.1,1.1,1.3,1.3,-0.0,1.4,1.5,1.5,1.8,2.0,2.1,2.2,2.2,-0.3,1.2,1.2,1.1,1.1,1.2,1.2,1.5,1.5,-0.1,1.4
昭島市,2.8,1.4,0.5,0.9,1.3,1.3,0.5,-0.9,0.3,1.5,1.0,2.0,1.6,1.8,2.1,1.9,-1.2,0.6,2.6,1.3,0.7,1.0,1.4,1.4,0.7,-0.9,0.3
調布市,1.1,1.1,1.1,1.0,1.1,1.6,1.9,0.0,1.5,2.3,2.5,2.9,3.5,3.2,3.4,3.8,-0.8,0.9,1.3,1.3,1.4,1.4,1.4,1.9,2.2,-0.1,1.5
町田市,0.6,0.2,-0.0,-0.0,0.0,0.0,0.1,-0.6,-0.1,1.4,1.0,1.4,1.5,1.3,1.6,1.9,-1.0,-0.1,0.7,0.4,0.2,0.2,0.2,0.3,0.4,-0.7,-0.1
小金井市,1.3,1.2,1.4,1.3,1.6,2.7,2.7,-0.1,0.6,1.1,1.2,1.7,1.5,1.8,4.6,5.7,-0.4,0.7,1.3,1.2,1.4,1.4,1.6,3.1,3.3,-0.2,0.6
小平市,1.4,0.8,0.8,1.2,1.2,1.0,1.0,-0.5,0.4,1.3,0.6,0.7,1.1,1.1,0.9,1.1,-1.4,0.1,1.4,0.8,0.8,1.2,1.2,1.0,1.0,-0.7,0.3
日野市,2.1,1.2,0.6,0.5,0.7,0.7,-0.0,-1.4,-0.1,1.6,1.8,2.0,2.1,2.3,2.8,2.4,-0.9,0.1,2.0,1.2,0.9,0.8,0.9,1.0,0.4,-1.3,-0.0
東村山市,1.7,0.5,0.7,1.2,1.0,0.7,0.6,-0.9,0.5,1.2,0.5,0.9,1.0,1.1,0.9,1.0,-1.6,0.0,1.5,0.5,0.7,1.1,1.0,0.8,0.7,-1.1,0.3
国分寺市,1.8,0.9,0.3,0.7,1.6,1.7,1.3,-0.6,1.1,1.4,1.3,1.2,1.4,2.3,2.2,1.3,-1.1,1.2,1.7,1.0,0.6,1.0,1.8,1.8,1.3,-0.8,1.1
国立市,2.3,1.1,0.9,1.0,2.4,2.3,1.3,-0.2,1.5,0.8,0.4,0.4,1.4,1.7,2.8,2.1,-1.0,1.2,2.0,1.0,0.8,1.0,2.1,2.3,1.5,-0.4,1.4
福生市,1.0,1.9,1.7,1.0,0.7,0.7,0.7,-1.4,0.4,0.9,1.6,1.5,1.2,1.0,0.9,0.6,-2.5,-0.2,1.0,1.8,1.6,1.0,0.8,0.8,0.7,-1.7,0.3
狛江市,0.1,0.8,0.5,0.8,0.8,1.4,2.0,-0.3,1.1,0.0,0.7,0.4,0.5,0.4,2.0,2.6,-0.8,0.7,0.1,0.7,0.5,0.7,0.7,1.4,2.1,-0.3,1.0
東大和市,1.1,0.7,0.6,0.7,0.8,0.7,0.3,-1.2,-0.0,0.7,0.5,0.6,0.7,0.8,0.2,0.2,-1.2,-0.2,1.0,0.6,0.6,0.7,0.8,0.6,0.3,-1.2,-0.0
清瀬市,1.3,0.9,0.6,1.0,1.1,0.8,0.5,-0.8,0.3,1.6,0.9,1.1,1.1,1.1,0.9,0.9,-1.5,0.0,1.3,0.9,0.7,0.9,1.1,0.8,0.5,-0.9,0.3
東久留米市,1.8,1.0,0.7,0.9,1.1,1.0,0.8,-1.0,0.7,1.2,0.5,0.8,1.0,1.2,1.1,0.9,-1.5,0.1,1.7,0.9,0.7,0.9,1.1,1.0,0.8,-1.0,0.6
武蔵村山市,0.1,0.9,0.8,0.2,0.2,0.2,0.1,-1.8,0.0,0.0,0.7,1.1,0.3,0.3,0.3,0.3,-2.3,-0.7,0.1,0.9,0.9,0.2,0.4,0.4,0.3,-1.7,0.0
多摩市,0.7,0.5,0.2,0.0,0.0,0.0,0.0,-0.8,-0.1,0.8,0.1,0.2,0.2,0.4,0.7,1.0,-1.3,-0.0,0.7,0.4,0.2,0.0,0.1,0.1,0.2,-0.9,-0.1
稲城市,1.3,1.6,1.8,2.0,1.9,3.1,2.9,0.7,2.3,0.9,1.6,1.6,2.1,2.2,3.1,4.4,-0.8,1.4,1.2,1.6,1.7,2.0,1.9,3.1,3.1,0.6,2.2
羽村市,0.6,1.4,0.9,0.4,0.0,0.2,-0.1,-1.7,-0.0,1.2,0.6,1.1,1.1,0.0,0.6,1.1,-2.2,0.0,0.6,1.3,1.0,0.6,0.3,0.8,0.6,-1.4,0.4
あきる野市,0.2,0.5,0.5,-0.0,-0.1,-0.0,-0.5,-2.8,-0.2,0.7,0.7,0.7,0.0,0.0,0.0,0.0,-2.6,-0.5,0.2,0.5,0.5,0.0,-0.1,-0.1,-0.4,-2.7,-0.2
西東京市,1.7,1.1,1.4,1.3,1.7,1.8,1.6,-0.3,0.6,1.3,1.3,1.6,2.1,2.7,3.7,4.1,-0.2,0.6,1.6,1.1,1.5,1.5,1.9,2.2,2.1,-0.3,0.6
瑞穂町,0.0,0.6,0.5,-0.0,-0.0,-0.1,-0.1,-2.0,-0.0,0.0,1.3,1.3,0.4,1.3,0.8,1.6,-1.2,0.0,0.0,0.8,0.7,0.1,0.4,0.3,0.5,-1.6,0.2
日の出町,0.1,0.4,0.4,0.0,0.0,0.0,-0.6,-2.7,-0.3,―,0.0,1.4,0.2,0.5,0.5,0.5,-1.3,0.2,0.1,0.3,0.6,0.0,-0.1,0.8,0.2,-2.3,-0.0
檜原村,0.0,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,0.0,―,―,―,―,―,―,―,―
奥多摩町,0.0,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,0.0,―,―,―,―,―,―,―,―
多摩地域,1.1,0.8,0.7,0.7,0.8,1.0,0.8,-0.7,0.5,1.3,1.4,1.8,1.9,2.0,2.4,2.5,-1.1,0.5,1.1,0.9,0.9,0.9,1.0,1.2,1.1,-0.8,0.5
大島町,-12.9,-2.6,0.0,0.0,0.0,-0.4,-0.7,-0.8,-0.8,-14.8,-5.2,-2.0,0.0,0.0,-1.1,-1.4,-3.4,-3.1,-13.5,-3.5,-0.7,0.0,0.0,-0.6,-0.9,-1.6,-1.5
新島村,-1.5,-1.5,0.0,0.0,0.0,-1.7,0.0,-3.1,-0.9,-1.1,-1.1,0.0,0.0,0.0,0.0,0.0,-4.8,-2.8,-1.3,-1.4,0.0,0.0,0.0,-1.1,0.0,-3.7,-1.5
神津島村,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三宅村,-1.1,-1.1,-1.1,-1.1,0.0,0.0,0.0,-0.6,0.0,-0.9,-0.9,-0.9,-0.9,0.0,0.0,0.0,-0.9,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-0.7,0.0
八丈町,-1.6,-1.2,-1.2,0.0,0.0,0.0,0.0,-1.2,0.0,-0.6,-0.3,-0.3,0.0,0.0,0.0,0.0,-1.3,-0.7,-1.3,-0.9,-0.9,0.0,0.0,0.0,0.0,-1.3,-0.2
小笠原村,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
島しょ,-2.7,-1.1,-0.4,-0.2,0.0,-0.4,-0.1,-1.0,-0.3,-2.4,-1.2,-0.5,-0.2,0.0,-0.2,-0.2,-1.7,-1.1,-2.6,-1.1,-0.4,-0.2,0.0,-0.3,-0.2,-1.2,-0.5
東京都,1.4,1.3,1.6,1.9,2.4,2.9,2.8,-0.6,1.0,2.3,2.9,4.1,4.7,5.4,6.8,7.2,-1.9,0.6,1.7,1.9,2.5,2.8,3.4,4.2,4.2,-1.0,0.9
