年度,総数,総数_一般(冊),総数_児童(冊),中央図書館_総数(冊),中央図書館_一般(冊),中央図書館_児童(冊),白糸台図書館_総数(冊),白糸台図書館_一般(冊),白糸台図書館_児童(冊),西府図書館_総数(冊),西府図書館_一般(冊),西府図書館_児童(冊),武蔵台図書館_総数(冊),武蔵台図書館_一般(冊),武蔵台図書館_児童(冊),新町図書館_総数(冊),新町図書館_一般(冊),新町図書館_児童(冊),住吉図書館_総数(冊),住吉図書館_一般(冊),住吉図書館_児童(冊),是政図書館_総数(冊),是政図書館_一般(冊),是政図書館_児童(冊),紅葉丘図書館_総数(冊),紅葉丘図書館_一般(冊),紅葉丘図書館_児童(冊),押立図書館_総数(冊),押立図書館_一般(冊),押立図書館_児童(冊),四谷図書館_総数(冊),四谷図書館_一般(冊),四谷図書館_児童(冊),片町図書館_総数(冊),片町図書館_一般(冊),片町図書館_児童(冊),宮町図書館_総数(冊),宮町図書館_一般(冊),宮町図書館_児童(冊),生涯学習センター図書館_総数(冊),生涯学習センター図書館_一般(冊),生涯学習センター図書館_児童(冊),市政情報_総数(冊),市政情報_一般(冊),市政情報_児童(冊),移動図書館_総数(冊),移動図書館_一般(冊),移動図書館_児童(冊),中文セ(桜通り)図書館_総数(冊),中文セ(桜通り)図書館_一般(冊),中文セ(桜通り)図書館_児童(冊)
1976,837453,…,…,214899,…,…,83083,…,…,63186,…,…,84608,…,…,106148,…,…,98972,…,…,58363,…,…,68904,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,59290,…,…,…,…,…
1977,810630,…,…,148147,…,…,85604,…,…,67764,…,…,100756,…,…,111053,…,…,102749,…,…,63412,…,…,77721,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,53424,…,…,…,…,…
1978,860845,…,…,224285,…,…,88334,…,…,71552,…,…,91988,…,…,88845,…,…,88415,…,…,58234,…,…,82377,…,…,10645,…,…,12539,…,…,…,…,…,…,…,…,…,…,…,…,…,…,43631,…,…,…,…,…
1979,837304,…,…,226693,…,…,87137,…,…,64904,…,…,77310,…,…,85553,…,…,78160,…,…,62712,…,…,83107,…,…,11590,…,…,12812,…,…,…,…,…,…,…,…,…,…,…,…,…,…,47326,…,…,…,…,…
1980,831324,…,…,239239,…,…,77733,…,…,56721,…,…,74113,…,…,76966,…,…,82839,…,…,65647,…,…,84191,…,…,14066,…,…,13983,…,…,…,…,…,…,…,…,…,…,…,…,…,…,45796,…,…,…,…,…
1981,873965,…,…,249750,…,…,79137,…,…,61444,…,…,79123,…,…,82839,…,…,85062,…,…,71933,…,…,88560,…,…,14568,…,…,12312,…,…,…,…,…,…,…,…,…,…,…,…,…,…,49237,…,…,…,…,…
1982,956531,…,…,276236,…,…,80874,…,…,68115,…,…,88667,…,…,82710,…,…,97710,…,…,84718,…,…,95253,…,…,14477,…,…,12656,…,…,…,…,…,…,…,…,…,…,…,…,…,…,45927,…,…,9188,…,…
1983,978984,…,…,274363,…,…,88660,…,…,61456,…,…,81409,…,…,89577,…,…,95835,…,…,88827,…,…,90107,…,…,18977,…,…,14380,…,…,…,…,…,…,…,…,…,…,…,…,…,…,40744,…,…,34649,…,…
1984,1012986,…,…,284991,…,…,97193,…,…,63951,…,…,87111,…,…,86921,…,…,94883,…,…,94281,…,…,84085,…,…,20215,…,…,15104,…,…,…,…,…,…,…,…,…,…,…,…,…,…,44463,…,…,39788,…,…
1985,986489,…,…,275432,…,…,103462,…,…,61561,…,…,85568,…,…,96794,…,…,95179,…,…,93404,…,…,83141,…,…,3774,…,…,2738,…,…,…,…,…,…,…,…,…,…,…,…,…,…,41865,…,…,43571,…,…
1986,989914,…,…,281478,…,…,95437,…,…,58473,…,…,82517,…,…,92092,…,…,84533,…,…,82665,…,…,73290,…,…,30135,…,…,29771,…,…,…,…,…,…,…,…,…,…,…,…,…,…,36716,…,…,42807,…,…
1987,1080810,…,…,348229,…,…,83662,…,…,57589,…,…,82904,…,…,87095,…,…,81125,…,…,99416,…,…,67712,…,…,34538,…,…,31269,…,…,36004,…,…,…,…,…,…,…,…,…,…,…,27221,…,…,44046,…,…
1988,1270651,…,…,395578,…,…,99818,…,…,62507,…,…,90828,…,…,89937,…,…,88672,…,…,106446,…,…,87322,…,…,44801,…,…,43620,…,…,82748,…,…,…,…,…,…,…,…,…,…,…,32796,…,…,45578,…,…
1989,1262716,…,…,406121,…,…,102915,…,…,60321,…,…,88636,…,…,79299,…,…,80298,…,…,110303,…,…,85516,…,…,52758,…,…,42231,…,…,73238,…,…,…,…,…,…,…,…,…,…,…,35372,…,…,45708,…,…
1990,1336785,…,…,457795,…,…,112478,…,…,58109,…,…,92432,…,…,86445,…,…,86133,…,…,117830,…,…,87584,…,…,50218,…,…,42062,…,…,65978,…,…,…,…,…,…,…,…,…,…,…,35619,…,…,44102,…,…
1991,1373846,893091,480755,487839,392549,95290,113205,69018,44187,56273,32924,23349,91765,59557,32208,89229,56966,32263,85950,56135,29815,128146,65352,62794,84129,49642,34487,51601,24895,26706,43013,22376,20637,69509,39727,29782,…,…,…,…,…,…,…,…,…,29558,11026,18532,43629,12924,30705
1992,1482227,999445,482782,573797,464170,109627,119555,75492,44063,60104,35488,24616,98393,65117,33276,93676,60568,33108,91556,60136,31420,143003,75391,67612,86308,51593,34715,48257,24969,23288,41390,23489,17901,68795,41840,26955,…,…,…,…,…,…,…,…,…,30458,12565,17893,26935,8627,18308
1993,1570414,1083127,487287,572037,472909,99128,118450,78430,40020,62016,38414,23602,97416,65051,32365,89589,58407,31182,92781,62801,29980,140592,76514,64078,84565,52734,31831,46142,24635,21507,45340,26494,18846,68956,44352,24604,…,…,…,87790,57140,30650,…,…,…,22581,9578,13003,42159,15668,26491
1994,1591159,1127908,463251,594678,499065,95613,119829,79871,39958,61713,38995,22718,95351,65370,29981,90287,60090,30197,89685,64128,25557,121629,68064,53565,83685,52150,31535,38601,22814,15787,47775,27713,20062,65507,43251,22256,…,…,…,110161,76673,33488,…,…,…,20362,8624,11738,51896,21100,30796
1995,1552938,1121568,431370,590503,498212,92291,113675,78654,35021,60483,39227,21256,89347,60880,28467,86464,60179,26285,87904,62926,24978,101026,61835,39191,83635,52892,30743,37927,22682,15245,49134,28761,20373,63840,42784,21056,…,…,…,116097,82804,33293,…,…,…,21923,9725,12198,50980,20007,30973
1996,1478050,1077558,400492,584758,494359,90399,106789,76312,30477,54327,36790,17537,83788,55098,28690,79191,55924,23267,87544,61588,25956,84964,52731,32233,74396,48515,25881,34603,20289,14314,45564,27380,18184,57106,37843,19263,…,…,…,113823,80943,32880,…,…,…,22088,10284,11804,49109,19502,29607
1997,1456589,1082948,373641,619648,526582,93066,29392,21536,7856,54036,37813,16223,80766,55217,25549,75813,53491,22322,79790,57773,22017,90895,59318,31577,86718,57903,28815,39183,24877,14306,43510,26916,16394,60844,40697,20147,…,…,…,124495,89170,35325,…,…,…,23524,11357,12167,47975,20298,27677
1998,1546608,1135729,410879,618566,527776,90790,108784,75071,33713,58717,39915,18802,80898,56118,24780,76964,53300,23664,85107,59894,25213,82008,52185,29823,84238,55590,28648,36911,23093,13818,44586,26898,17688,65605,42618,22987,…,…,…,137975,95877,42098,…,…,…,12183,5811,6372,54066,21583,32483
1999,1574058,1153680,420378,635676,536295,99381,116886,79823,37063,58335,39843,18492,82811,57272,25539,77855,53973,23882,84796,58994,25802,81116,51724,29392,82234,55176,27058,34592,21416,13176,43500,27162,16338,68262,43493,24769,…,…,…,149776,105543,44233,…,…,…,0,0,0,58219,22966,35253
2000,1523955,1105670,418285,627087,525318,101769,117445,80077,37368,31957,21105,10852,81480,56978,24502,74577,51656,22921,83612,54804,28808,74546,48989,25557,83015,53673,29342,32596,20857,11739,43862,26723,17139,72970,45023,27947,…,…,…,144257,98695,45562,…,…,…,0,0,0,56551,21772,34779
2001,1523592,1087013,436579,619696,514645,105051,115301,76343,38958,47598,29888,17710,78627,54098,24529,77798,53828,23970,84312,54796,29516,70810,46647,24163,85331,54714,30617,31766,18673,13093,41632,25433,16199,67276,41099,26177,…,…,…,145331,95309,50022,…,…,…,0,0,0,58114,21540,36574
2002,1576849,1098441,478408,630517,519553,110964,121004,76804,44200,59356,36215,23141,81362,54685,26677,78204,52472,25732,92152,57862,34290,71835,46155,25680,88507,54336,34171,32022,19492,12530,44912,26161,18751,66832,38715,28117,…,…,…,149061,95122,53939,…,…,…,0,0,0,61085,20869,40216
2003,1604331,1108329,496002,654385,535449,118936,125119,80697,44422,66456,40764,25692,46560,31007,15553,79650,51940,27710,95325,59068,36257,73542,46365,27177,90173,55013,35160,32660,17799,14861,49698,27903,21795,69206,39636,29570,…,…,…,156375,100578,55797,…,…,…,0,0,0,65182,22110,43072
2004,1605471,1098699,506772,641491,525025,116466,123461,79457,44004,65511,37745,27766,81202,54220,26982,37980,25084,12896,98112,59497,38615,78701,47712,30989,93208,55465,37743,34254,19238,15016,50041,27090,22951,73471,41782,31689,…,…,…,162511,103287,59224,…,…,…,0,0,0,65528,23097,42431
2005,1577079,1076330,500749,637413,516110,121303,122467,79247,43220,66425,37209,29216,81734,53510,28224,66078,43198,22880,52071,31755,20316,84155,50273,33882,89577,52529,37048,34018,19224,14794,60166,31892,28274,74908,43831,31077,…,…,…,150615,96629,53986,…,…,…,0,0,0,57452,20923,36529
2006,1572694,1063295,509399,613049,490663,122386,129279,82286,46993,64316,35277,29039,89546,59110,30436,67975,43644,24331,102778,62359,40419,46460,26896,19564,87141,51180,35961,35593,19709,15884,53363,27306,26057,71464,43608,27856,…,…,…,151699,98081,53618,…,…,…,0,0,0,60031,23176,36855
2007,1642518,1092007,550511,629615,471339,158276,139296,89613,49683,66427,37358,29069,95464,60170,35294,70540,46356,24184,116108,69743,46365,83147,51166,31981,44825,27254,17571,37015,20463,16552,55089,27424,27665,87126,56407,30719,61404,29985,31419,156462,104729,51733,…,…,…,0,0,0,…,…,…
2008,2209809,1501137,708672,1168403,857571,310832,139584,88593,50991,70766,39987,30779,97132,61794,35338,62031,39264,22767,129227,75516,53711,87468,55333,32135,90670,54081,36589,39659,21708,17951,41016,21211,19805,79665,51790,27875,87051,59022,28029,117137,75267,41870,…,…,…,0,0,0,…,…,…
2009,2255583,1542022,713561,1213541,899440,314101,140735,89626,51109,69444,39691,29753,97852,62703,35149,65632,40386,25246,127919,75731,52188,93128,57753,35375,92158,54419,37739,39941,22942,16999,49393,24708,24685,83247,53222,30025,67374,46191,21183,115219,75210,40009,…,…,…,0,0,0,…,…,…
2010,2217266,1542272,674994,1230635,924840,305795,138874,89963,48911,71460,41393,30067,92640,61807,30833,65266,42465,22801,126210,74984,51226,94266,58608,35658,90446,54355,36091,37399,22882,14517,57258,29373,27885,87871,56661,31210,10765,9538,1227,114176,75403,38773,…,…,…,0,0,0,…,…,…
2011,2213205,1551317,661888,1181048,897293,283755,138901,91290,47611,72056,41379,30677,93513,62313,31200,65689,43394,22295,126082,75333,50749,92846,57655,35191,87245,54165,33080,37544,22663,14881,56293,30885,25408,81734,52627,29107,70577,50233,20344,109677,72087,37590,…,…,…,0,0,0,…,…,…
2012,2129870,1487694,642176,1128420,855354,273066,133632,88095,45537,67667,40242,27425,90945,59629,31316,67015,43235,23780,123997,72337,51660,87499,55735,31764,85585,53183,32402,36686,21266,15420,56297,31082,25215,80450,50615,29835,69720,49469,20251,101957,67452,34505,…,…,…,0,0,0,…,…,…
2013,2102161,1462383,639778,1098513,829108,269405,138520,91749,46771,66895,39076,27819,90570,59489,31081,63289,42668,20621,123314,72023,51291,89221,56427,32794,85133,51713,33420,19257,12033,7224,53098,29834,23264,82373,51721,30652,79328,55183,24145,112650,71359,41291,…,…,…,0,0,0,…,…,…
2014,2054223,1423416,630807,1051450,792218,259232,140124,95590,44534,63158,36646,26512,89666,58352,31314,62470,41790,20680,123719,72537,51182,87234,54800,32434,89394,51796,37598,14545,9446,5099,52770,29659,23111,84335,53191,31144,79412,55311,24101,115946,72080,43866,…,…,…,0,0,0,…,…,…
2015,2069642,1407105,662537,1026484,766798,259686,127037,87483,39554,66275,36111,30164,90271,56578,33693,64300,42119,22181,120340,71119,49221,82154,51309,30845,87643,49387,38256,57666,29998,27668,54962,29959,25003,86226,54181,32045,87198,59777,27421,119086,72286,46800,0,0,0,0,0,0,…,…,…
2016,1992777,1343487,649290,978544,725044,253500,128135,86776,41359,65003,34811,30192,90033,54858,35175,60552,39825,20727,114175,69133,45042,76530,48104,28426,83719,47270,36449,55396,28433,26963,55580,30675,24905,85207,51661,33546,87849,59694,28155,112054,67203,44851,0,0,0,0,0,0,…,…,…
2017,1897199,1267497,629702,921716,678404,243312,124553,83088,41465,66336,34549,31787,86242,51883,34359,57228,38331,18897,104743,61997,42746,69817,43816,26001,81040,46955,34085,51671,25605,26066,52472,29073,23399,83309,48225,35084,84075,56589,27486,107443,63276,44167,6554,5706,848,0,0,0,…,…,…
2018,1914013,1270806,643207,919843,673705,246138,125478,84111,41367,67221,34296,32925,87130,52354,34776,55570,35803,19767,105939,62993,42946,71380,43201,28179,83949,49062,34887,58228,28477,29751,51974,28779,23195,80954,46102,34852,85588,55818,29770,108362,64902,43460,12397,11203,1194,0,0,0,…,…,…
2019,1775144,1178880,596264,842223,615906,226317,123251,83432,39819,62482,32445,30037,80484,49372,31112,53493,32707,20786,97037,57924,39113,64774,40100,24674,77384,44928,32456,52113,25799,26314,48939,26966,21973,77401,42631,34770,81744,54127,27617,98928,59488,39440,14891,13055,1836,0,0,0,…,…,…
2020,1380949,925995,454954,620804,451981,168823,103394,70576,32818,48805,26529,22276,67841,43067,24774,44497,27348,17149,76570,48858,27712,53656,34695,18961,67780,41027,26753,43166,24008,19158,41605,23740,17865,65448,36784,28664,65990,43388,22602,68075,42435,25640,13318,11559,1759,0,0,0,…,…,…
2021,1757150,1146303,610847,789874,565668,224206,130941,85725,45216,60663,33135,27528,87552,53987,33565,55741,33829,21912,101069,60689,40380,68902,42731,26171,83199,51277,31922,55172,28869,26303,53333,28565,24768,82456,44894,37562,81003,50550,30453,93033,54040,38993,14212,12344,1868,0,0,0,…,…,…
2022,1495044,971420,523624,499632,361374,138258,123117,82706,40411,59941,31852,28089,84799,54071,30728,60923,37622,23301,96642,60027,36615,67432,43175,24257,84211,50092,34119,53591,29719,23872,47367,25833,21534,86102,49693,36409,96807,61708,35099,118282,69672,48610,16198,13876,2322,0,0,0,…,…,…
2023,1639619,1092343,547276,705347,510955,194392,123252,81709,41543,55415,30928,24487,85519,55106,30413,51382,32897,18485,96160,62470,33690,65231,42199,23032,83458,48144,35314,49475,29046,20429,46152,26000,20152,81695,48629,33066,83977,52825,31152,95707,57102,38605,16849,14333,2516,0,0,0,…,…,…
ﾍ莎<ﾛﾑ%{】.;~ﾕ1�2ｹ広8ﾜ疇*$U;~OP蹌c郤d/Pﾐ%ﾐｧｵﾆﾊ^�Zﾙ��9㍾=ﾝｩ�i}Fﾝﾈ^ﾛC杓p垤憩�翌N�ﾂ>顆�ﾎｨ�i}ｬ^脊ｮｫ=*d��ﾔﾆ�ﾓ･\3ﾒ'�鈷ﾌｦﾜ
