国-6-30,強化液消火器（３型）,東京都台東区浅草橋3-20-18,139.7882692,35.70058916,
国-6-31,強化液消火器（３型）,東京都台東区浅草橋3-20-12,139.788752,35.70126329,
国-6-32,強化液消火器（３型）,東京都台東区蔵前4-5-10,139.78929,35.7020256,
国-6-33,強化液消火器（３型）,東京都台東区蔵前3-1-13,139.7901322,35.70284744,
国-6-34,強化液消火器（３型）,東京都台東区蔵前3-5-10,139.7914012,35.7037338,
国-6-35,強化液消火器（３型）,東京都台東区蔵前3-13-13,139.7922674,35.70446201,
国-6-36,強化液消火器（３型）,東京都台東区蔵前3-21-5,139.7928956,35.7049981,
国-6-37,強化液消火器（３型）,東京都台東区駒形1-1-12,139.7934251,35.70543515,
国-6-38,強化液消火器（３型）,東京都台東区駒形1-3-12,139.7942863,35.70635194,
国-6-39,強化液消火器（３型）,東京都台東区駒形1-4-16,139.7946746,35.7068707,
国-6-40,強化液消火器（３型）,東京都台東区駒形1-7-11,139.7952707,35.70771907,
国-6-41,強化液消火器（３型）,東京都台東区駒形1-12-14,139.7957262,35.70841628,
国-6-42,強化液消火器（３型）,東京都台東区雷門2-3-2,139.7964462,35.70922626,
国-6-43,強化液消火器（３型）,東京都台東区雷門2-19-17,139.7971096,35.71002287,
国-6-44,強化液消火器（３型）,東京都台東区花川戸1-4-1,139.7979644,35.71122859,
国-6-45,強化液消火器（３型）,東京都台東区花川戸1-4-1,139.7989358,35.71239389,
国-6-46,強化液消火器（３型）,東京都台東区花川戸1-10-14,139.7994648,35.71287422,
国-6-47,強化液消火器（３型）,東京都台東区花川戸1-13-14,139.7999994,35.71334626,
国-6-48,強化液消火器（３型）,東京都台東区花川戸2-3-11,139.8005755,35.71388902,
国-6-49,強化液消火器（３型）,東京都台東区花川戸2-16-1,139.8014163,35.71488451,
都-306-1,強化液消火器（３型）,東京都台東区橋場2-17-3,139.8083574,35.72809318,
都-306-2,強化液消火器（３型）,東京都台東区橋場2-18,139.80708,35.72825774,
都-306-3,強化液消火器（３型）,東京都台東区橋場2-22-12,139.8060887,35.72837802,
都-306-4,強化液消火器（３型）,東京都台東区清川2-24-11,139.8052311,35.72847962,
都-306-5,強化液消火器（３型）,東京都台東区清川2-25-19,139.8039098,35.72865993,
都-306-6,強化液消火器（３型）,東京都台東区清川2-25-13,139.8029096,35.72880856,
都-306-7,強化液消火器（３型）,東京都台東区清川2-36-6,139.8018668,35.72896875,
都-306-8,強化液消火器（３型）,東京都台東区清川2-38-14,139.8007993,35.72899651,
都-306-9,強化液消火器（３型）,東京都台東区清川2-39-6,139.7997626,35.72892443,
都-306-10,強化液消火器（３型）,東京都台東区日本堤2-30-9,139.7984347,35.72886457,
都-306-11,強化液消火器（３型）,東京都台東区日本堤2-31-10,139.7970374,35.72880762,
都-306-12,強化液消火器（３型）,東京都台東区日本堤2-35-9,139.7956882,35.72875841,
都-306-13,強化液消火器（３型）,東京都台東区日本堤2-36-7,139.7945797,35.72870623,
都-306-14,強化液消火器（３型）,東京都台東区三ﾉ輪1-26-12,139.793156,35.72890135,
都-306-15,強化液消火器（３型）,東京都台東区三ﾉ輪1-28-15,139.7920283,35.72969052,
都-306-16,強化液消火器（３型）,東京都台東区根岸5-21,139.7912033,35.73021428,
都-306-17,強化液消火器（３型）,東京都台東区根岸5-25-2,139.7911615,35.73059503,
都-306-18,強化液消火器（３型）,東京都台東区三ﾉ輪2-14-6,139.792251,35.7298875,
都-306-19,強化液消火器（３型）,東京都台東区三ﾉ輪2-5-4,139.7929621,35.7293932,
都-306-20,強化液消火器（３型）,東京都台東区三ﾉ輪2-4-2,139.7938512,35.72891265,
都-313-1,強化液消火器（３型）,東京都台東区根岸3-25-7,139.7789656,35.72466822,
都-313-2,強化液消火器（３型）,東京都台東区根岸3-9-7,139.7785923,35.72358261,
都-313-3,強化液消火器（３型）,東京都台東区根岸2-14-1,139.7783365,35.72362664,
都-313-4,強化液消火器（３型）,東京都台東区根岸2-18-24,139.7788311,35.72476103,
都-314-1,強化液消火器（３型）,東京都台東区橋場2-1-19,139.8085782,35.72784061,
都-314-2,強化液消火器（３型）,東京都台東区橋場2-1-13,139.8084517,35.72700681,
都-314-3,強化液消火器（３型）,東京都台東区橋場2-1-4,139.8080686,35.72581648,
都-314-4,強化液消火器（３型）,東京都台東区橋場1-36-11,139.8078357,35.72500287,
都-314-5,強化液消火器（３型）,東京都台東区橋場1-36-7,139.807728,35.72447395,
都-314-6,強化液消火器（３型）,東京都台東区橋場1-1-15,139.8076189,35.7239171,
都-314-7,強化液消火器（３型）,東京都台東区今戸2-26-12,139.8072188,35.72214252,
都-314-8,強化液消火器（３型）,東京都台東区今戸2-1-8,139.8068203,35.72092673,
都-314-9,強化液消火器（３型）,東京都台東区今戸1-1,139.8062433,35.72026549,
都-314-10,強化液消火器（３型）,東京都台東区今戸1-1,139.8055635,35.71961089,
都-314-11,強化液消火器（３型）,東京都台東区今戸1-1,139.8048669,35.71877231,
都-314-12,強化液消火器（３型）,東京都台東区今戸1-1-9,139.8030616,35.7203354,
都-314-13,強化液消火器（３型）,東京都台東区浅草7-1-22,139.8035152,35.71692243,
都-314-14,強化液消火器（３型）,東京都台東区浅草7-1-11,139.8026492,35.71592911,
都-314-15,強化液消火器（３型）,東京都台東区浅草7-2-2,139.802076,35.71555503,
都-314-16,強化液消火器（３型）,東京都台東区浅草7-3-13,139.8029056,35.71650695,
都-314-17,強化液消火器（３型）,東京都台東区今戸1-6-26,139.8037354,35.71752232,
都-314-18,強化液消火器（３型）,東京都台東区今戸1-2-18,139.8041244,35.71796109,
都-314-19,強化液消火器（３型）,東京都台東区今戸1-3-16,139.8047555,35.71882593,
都-314-20,強化液消火器（３型）,東京都台東区今戸1-23-11,139.8054263,35.71964499,
都-314-21,強化液消火器（３型）,東京都台東区今戸2-2-11,139.8061377,35.72032217,
都-314-22,強化液消火器（３型）,東京都台東区今戸2-25-12,139.8068194,35.72121271,
都-314-23,強化液消火器（３型）,東京都台東区今戸2-27-4,139.8070323,35.7219659,
都-314-24,強化液消火器（３型）,東京都台東区橋場1-2-10,139.8072666,35.72291357,
都-314-25,強化液消火器（３型）,東京都台東区橋場1-23-1,139.8075497,35.72424769,
都-314-26,強化液消火器（３型）,東京都台東区橋場1-24-18,139.8077051,35.72501909,
都-314-27,強化液消火器（３型）,東京都台東区橋場2-2-1,139.807941,35.72584354,
都-314-28,強化液消火器（３型）,東京都台東区橋場2-14-18,139.8083,35.72692273,
都-314-29,強化液消火器（３型）,東京都台東区橋場2-16-15,139.8084375,35.72757202,
都-315-1,強化液消火器（３型）,東京都台東区蔵前1-3-25,139.7910027,35.70139178,
都-315-2,強化液消火器（３型）,東京都台東区蔵前1-7-8,139.7897806,35.70146082,
都-315-3,強化液消火器（３型）,東京都台東区浅草橋3-25-5,139.7882881,35.70162136,
都-315-4,強化液消火器（３型）,東京都台東区浅草橋3-26-5,139.7879587,35.7016746,
都-315-5,強化液消火器（３型）,東京都台東区浅草橋3-30-7,139.7864261,35.70160722,
都-315-6,強化液消火器（３型）,東京都台東区浅草橋3-32-5,139.7856079,35.70163831,
都-315-7,強化液消火器（３型）,東京都台東区浅草橋3-34-8,139.784228,35.70178807,
都-315-8,強化液消火器（３型）,東京都台東区浅草橋5-29-6,139.7826531,35.70195894,
都-315-9,強化液消火器（３型）,東京都台東区浅草橋5-21-7,139.7812799,35.70210422,
都-315-10,強化液消火器（３型）,東京都台東区台東1-37-10,139.7803564,35.70218157,
都-315-11,強化液消火器（３型）,東京都台東区台東1-35-5,139.7792023,35.70226474,
都-315-12,強化液消火器（３型）,東京都台東区台東1-33-8,139.7782076,35.70234546,
都-315-13,強化液消火器（３型）,東京都台東区台東1-32-2,139.7774937,35.70238476,
都-315-14,強化液消火器（３型）,東京都台東区台東1-30-8,139.7762202,35.70247266,
都-315-15,強化液消火器（３型）,東京都台東区台東2-8-2,139.7761613,35.70272055,
都-315-16,強化液消火器（３型）,東京都台東区台東2-6-1,139.7778297,35.70259834,
都-315-17,強化液消火器（３型）,東京都台東区台東2-4-3,139.7789518,35.70250395,
都-315-18,強化液消火器（３型）,東京都台東区台東2-2-1,139.7804445,35.70238254,
都-315-19,強化液消火器（３型）,東京都台東区鳥越1-8-1,139.7812883,35.70230726,
都-315-20,強化液消火器（３型）,東京都台東区鳥越1-4-1,139.7826851,35.70216657,
都-315-21,強化液消火器（３型）,東京都台東区鳥越1-2-2,139.7834049,35.70208339,
都-315-22,強化液消火器（３型）,東京都台東区鳥越2-6-2,139.7846133,35.70194593,
都-315-23,強化液消火器（３型）,東京都台東区鳥越2-4-1,139.7858401,35.70181061,
都-315-24,強化液消火器（３型）,東京都台東区鳥越2-2-5,139.7866581,35.70182366,
都-315-25,強化液消火器（３型）,東京都台東区鳥越2-1-1,139.7876957,35.70187387,
都-315-26,強化液消火器（３型）,東京都台東区蔵前4-2-1,139.7884709,35.70179405,
都-315-27,強化液消火器（３型）,東京都台東区蔵前2-1-15,139.7908012,35.70157755,
都-315-28,強化液消火器（３型）,東京都台東区蔵前2-1-1,139.7922816,35.70153281,
都-319-1,強化液消火器（３型）,東京都台東区花川戸2-16-8,139.8011648,35.7151512,
都-319-2,強化液消火器（３型）,東京都台東区花川戸2-18-5,139.7999543,35.71542205,
都-319-3,強化液消火器（３型）,東京都台東区花川戸2-21-3,139.7986478,35.71549604,
都-319-4,強化液消火器（３型）,東京都台東区浅草2-31-13,139.7979939,35.71586457,
都-319-5,強化液消火器（３型）,東京都台東区浅草2-30-17,139.7971956,35.71605342,
都-319-6,強化液消火器（３型）,東京都台東区浅草2-30-17,139.7962962,35.71628268,
都-319-7,強化液消火器（３型）,東京都台東区浅草2-27-9,139.7951324,35.71657677,
都-319-8,強化液消火器（３型）,東京都台東区浅草2-21-7,139.7936426,35.71696139,
都-319-9,強化液消火器（３型）,東京都台東区西浅草3-28-19,139.792244,35.71730999,
都-319-10,強化液消火器（３型）,東京都台東区西浅草3-28-14,139.7915404,35.71749434,
都-319-11,強化液消火器（３型）,�
